"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 18:50:29 GMT 2023","Tue Mar 28 18:50:41 GMT 2023","12030","","employeeAdding:","","employeeAdding:","Добавление нового работника с неполным именем","Добавление нового работника с неполным именем",""
"passed","Tue Mar 28 18:50:45 GMT 2023","Tue Mar 28 18:50:59 GMT 2023","13759","","employeeAdding:","","employeeAdding:","Добавление нового работника с полным именем","Добавление нового работника с полным именем",""
"passed","Tue Mar 28 18:50:24 GMT 2023","Tue Mar 28 18:50:29 GMT 2023","5266","","auth:","","auth:","Отображение ошибки при авторизации с неправильным паролем","Отображение ошибки при авторизации с неправильным паролем",""
"passed","Tue Mar 28 18:50:10 GMT 2023","Tue Mar 28 18:50:15 GMT 2023","5339","","auth:","","auth:","Успешная авторизация","Успешная авторизация",""
"passed","Tue Mar 28 18:51:40 GMT 2023","Tue Mar 28 18:51:56 GMT 2023","15590","","employeeList:","","employeeList:","Поиск работника по имени из списка","Поиск работника по имени из списка",""
"passed","Tue Mar 28 18:50:19 GMT 2023","Tue Mar 28 18:50:24 GMT 2023","5102","","auth:","","auth:","Отображение ошибки при авторизации с неправильным логином","Отображение ошибки при авторизации с неправильным логином",""
"passed","Tue Mar 28 18:51:20 GMT 2023","Tue Mar 28 18:51:37 GMT 2023","16888","","employeeDetail:","","employeeDetail:","Редактирование имени и фамилии работника","Редактирование имени и фамилии работника",""
"passed","Tue Mar 28 18:51:59 GMT 2023","Tue Mar 28 18:52:16 GMT 2023","16870","","employeeList:","","employeeList:","Переход в детальную информацию по одному работнику из списка","Переход в детальную информацию по одному работнику из списка",""
"passed","Tue Mar 28 18:50:15 GMT 2023","Tue Mar 28 18:50:19 GMT 2023","3559","","auth:","","auth:","Отображение ошибки при авторизации с пустыми реквизитами","Отображение ошибки при авторизации с пустыми реквизитами",""
"passed","Tue Mar 28 18:51:02 GMT 2023","Tue Mar 28 18:51:16 GMT 2023","14200","","employeeAdding:","","employeeAdding:","Добавление нового работника с данными логина","Добавление нового работника с данными логина",""
